Contour value = 1
603979776 = number of vibrational basis functions from initial-state totally symemtric irreducible
9895604649984 = number of vibrational basis functions
mode    lower bound    upper bound    phonons    continuum phonons
   1      -33.32546       20.57299          1              0.32122
   2      -18.30070       17.95731          1              0.04003
   3      -29.35346        3.80831          2              1.15493
   4      -19.00001       10.52075          1              0.30182
   5       -5.68924       22.30690          1              0.81747
   6      -11.36519       11.68200          1              0.02073
   7      -11.54290       10.73676          1              0.04560
   8      -11.80276        9.87790          1              0.09602
   9      -10.38601       10.06746          1              0.00941
  10       -9.48823       10.86362          1              0.08872
  11      -18.69755        0.14497          2              1.38853
  12       -9.80470        8.92210          1              0.03909
  13       -4.91301       13.32495          1              0.57570
  14       -8.70827        9.72461          1              0.09039
  15        2.40467       20.40886          3              2.13813
  16       -3.32428       14.43420          1              0.88442
  17      -12.35795        5.11746          1              0.52485
  18       -9.18776        7.59181          1              0.09753
  19       -7.61825        9.09902          1              0.08837
  20       -9.33129        7.27489          1              0.12634
  21       -8.48931        4.29594          1              0.50392
  22       -5.54372        6.39898          1              0.07866
  23       -6.17944        5.77943          1              0.04073
  24       -5.92969        6.01193          1              0.01407
  25       -6.34806        5.55194          1              0.07946
  26       -5.41308        6.47586          1              0.10446
  27       -5.66937        6.16242          1              0.04926
  28      -21.15903       21.15903          1              0.04018
  29      -17.27398       17.27398          0             -0.02666
  30      -15.42761       15.42761          1              0.00467
  31      -11.44326       11.44326          0             -0.00320
  32      -10.51203       10.51203          0             -0.01623
  33      -10.58360       10.58360          0             -0.00403
  34       -9.44875        9.44875          0             -0.06337
  35       -9.91485        9.91485          1              0.00888
  36       -9.84242        9.84242          1              0.01794
  37       -9.09744        9.09744          0             -0.02508
  38       -9.38171        9.38171          1              0.02159
  39       -9.08986        9.08986          1              0.01470
  40       -8.74470        8.74470          1              0.00324
  41       -8.75971        8.75971          1              0.00975
  42       -8.73720        8.73720          1              0.01540
  43       -8.39148        8.39148          1              0.00109
  44       -8.30762        8.30762          0             -0.00256
  45       -5.97198        5.97198          1              0.00398
  46       -5.97680        5.97680          1              0.00694
  47       -5.95863        5.95863          1              0.01029
  48       -5.92320        5.92320          1              0.00603
